Name,ISIN,Ticker,Morningstar Fair Value Status,Morningstar Rating Overall,Price/Fair Value,Morningstar Fair Value Per Share,Fair Value Uncertainty,Consider Buying,Consider Selling,Economic Moat,Business Risk Pillar,Moat Trend,Morningstar Credit Rating,Moat Source - Cost Advantage,Moat Source - Efficient Scale,Moat Source - Intangible Assets,Moat Source - Network Effect,Moat Source - Switch Cost,Quantitative Fair Value Estimate Base Currency,Quantitative Valuation,Quantitative Valuation Score,Quantitative Valuation Uncertainty,Quantitative Valuation Uncertainty Score,Quantitative Financial Health,Quantitative Financial Health Score,Quantitative Moat,Quantitative Moat Score,Payout Ratio TTM,Div Growth % 1 Yr (FY 1),Div Growth % 3 Yr (FY 1),Div Growth % 5 Yr (FY 1),Div Growth % 10 Yr (FY 1),Dividend Yield % TTM,Market Cap (mil) (Daily) Base Currency,Equity Style Box (Long),Daily Closing Price 2021-06-16 Base Currency,Return (Day to Day) 2021-05-17 to 2021-06-16 Base Currency,Price 52 Wk High Base Currency,Price 52 Wk Low Base Currency,Beta 3 Yr (Mo-End),Beta 5 Yr (Mo-End),EBT Margin % 1 Yr - FY1,ROIC (TTM),Rev Growth % 1 Yr (FY 1),Rev Growth % 3 Yr (FY 1),Rev Growth % 5 Yr (FY 1),FCF Growth % 1 Yr - FY1,FCF Growth % 3 Yr - FY1,CFO Growth % 3 Yr - FY1,Book Value per Share Growth % 3 Yr,Financial Health Grade,P/E Ratio (TTM) (Long),P/E Ratio 5 Yr Avg,PEG Ratio,Earnings Yield % TTM,Sector,Industry,GICS Sector,GICS Industry,GICS Sub-Industry,SecId,Company Id,Exchange Country,Ticker,ROIC % (TTM),ROIC % FY 1,ROIC % 1 Yr Year2008,ROIC % 1 Yr Year2009,ROIC % 1 Yr Year2010,ROIC % 1 Yr Year2011,ROIC % 1 Yr Year2012,ROIC % 1 Yr Year2013,ROIC % 1 Yr Year2014,ROIC % 1 Yr Year2015,ROIC % 1 Yr Year2016,ROIC % 1 Yr Year2017,Return on Equity TTM 2021-05,ROE % FY 1,ROE % FY 2,ROE % FY 3,ROE % FY 4,ROE % FY 5,ROE % FY 6,ROE % FY 7,ROE % FY 8,ROE % FY 9,ROE % FY 10,Probability of Default,Sustainalytics Rating Date,Sustainalytics Peer Group Name,Sustainalytics ESG Risk Classification,Sustainalytics ESG Risk Score,ESG Risk Rating Assessment,Notable Material ESG Issue 1,Notable Material ESG Issue 2,Notable Material ESG Issue 3,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics Environmental Risk Score,Sustainalytics Social Risk Score,Sustainalytics Governance Risk Score,Company Controversy Level Descriptor,Company Highest Controversy Level,Company Highest Controversy Topics,,,
Johnson & Johnson,US4781601046,JNJ,Active,2,1.04,158.00,Low,126.40,197.50,Wide,,Stable,,No,No,Yes,No,No,157.24,Fairly Valued,0.96,Low,0.10,Strong,0.78,Wide,1.00,0.71,6.13,6.23,6.17,6.55,2.49,"433,009.30",Large Value,164.43,-2.80,173.65,133.65,0.72,0.71,19.98,16.22,0.64,2.61,3.34,1.36,4.33,3.78,2.34,A,29.90,70.07,1.84,3.44,Healthcare,Drug Manufacturers - General,Health Care,,,0P0000032S,0C00000BO5,United States,JNJ,16.22,15.93,24.26,21.00,19.65,13.39,14.22,16.39,18.47,17.55,17.86,1.69,23.78,23.97,25.36,25.51,1.99,23.37,21.87,22.70,19.92,17.81,17.02,0.00,5/8/2021,Pharmaceuticals,Medium,28.97,3,Product Governance,Human Capital,Access to Basic Services,53.15,23.52,0.75,19.91,8.97,High,4,Yes,,,
Juniper Networks Inc,US48203R1041,JNPR,Active,2,1.23,23.00,High,13.80,35.65,None,,Stable,,No,No,No,No,No,26.56,Overvalued,0.94,Medium,0.12,Moderate,0.70,None,0.08,1.31,5.26,25.99,14.87,,2.84,"9,245.55",Mid Value,28.21,6.94,29.08,19.51,0.91,0.82,5.97,3.72,-0.01,-4.02,-1.76,22.01,-22.71,-21.38,2.68,B,43.16,23.51,1.42,2.16,Technology,Communication Equipment,Information Technology,,,0P00000335,0C00000BOI,United States,JNPR,3.72,4.34,8.37,1.92,9.93,5.79,2.65,5.91,-4.08,10.39,9.58,4.82,4.68,5.63,7.31,11.93,6.35,12.43,13.35,-5.47,6.15,2.65,6.21,0.00,5/8/2021,Communications Equipment,Low,16.05,4,Human Capital,Data Privacy and Security,Business Ethics,29.30,13.25,0.38,9.27,6.40,Moderate,2,Yes,,,
Kansas City Southern,US4851703029,KSU,Active,3,0.96,302.00,High,181.20,468.10,Wide,,Stable,,Yes,Yes,No,No,No,250.16,Overvalued,0.86,High,0.16,Moderate,0.65,Wide,1.00,0.27,10.81,5.92,4.44,,0.66,"26,395.44",Mid Blend,290.27,-5.89,315.39,140.86,1.08,1.09,31.27,9.29,-8.14,0.07,1.71,23.46,13.79,1.65,0.31,B,44.83,20.32,2.96,2.29,Industrials,Railroads,Industrials,,,0P00000343,0C00000BOU,United States,KSU,9.29,9.31,6.87,4.29,6.62,9.99,9.65,7.86,9.55,8.78,8.52,15.44,14.25,14.57,11.68,13.42,22.30,11.96,12.62,14.12,10.88,12.89,12.68,0.00,5/8/2021,Rail Transport,Medium,23.53,3,Product Governance,"Emissions, Effluents and Waste",Occupational Health and Safety,38.05,14.56,9.48,10.17,3.84,Moderate,2,Yes,,,
Kellogg Co,US4878361082,K,Active,4,0.78,83.00,Medium,58.10,112.05,Wide,,Negative,,Yes,No,Yes,No,No,69.64,Undervalued,1.07,High,0.20,Moderate,0.67,Wide,1.00,0.62,0.89,2.46,2.86,3.87,3.54,"22,057.35",Mid Value,64.78,-1.78,72.88,56.61,0.65,0.64,11.63,12.88,1.41,2.32,0.36,151.02,,70.17,12.82,B,17.75,27.93,2.38,5.70,Consumer Defensive,Packaged Foods,Consumer Staples,,,0P0000034A,0C00000BP2,United States,K,12.88,13.15,18.62,20.26,19.25,13.04,12.69,18.58,7.54,7.93,10.26,14.13,43.77,42.70,35.90,55.91,61.35,34.62,24.97,19.96,60.75,45.76,43.80,0.00,5/8/2021,Packaged Foods,Medium,26.87,3,Product Governance,Human Capital,Land Use and Biodiversity - Supply Chain,52.05,25.17,7.45,14.83,4.60,Moderate,2,Yes,,,
Keurig Dr Pepper Inc,US49271V1008,KDP,Active,2,1.16,29.50,Medium,20.65,39.83,Narrow,,Negative,,Yes,No,Yes,No,No,33.09,Fairly Valued,0.97,Low,0.08,Moderate,0.69,Narrow,0.99,0.57,0.00,-36.29,-20.76,-3.97,1.75,"48,532.56",Large Blend,34.24,-5.02,37.11,26.67,0.64,0.70,15.09,5.08,4.48,20.20,13.09,-8.06,32.69,33.25,7.48,A,35.20,25.87,2.70,3.07,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Staples,,,0P0000F8QU,0C000013NW,United States,KDP,5.08,4.64,-1.76,11.52,10.96,14.25,14.08,14.63,15.89,16.05,15.48,18.08,6.40,5.63,5.48,4.69,46.94,39.24,34.13,30.76,27.39,27.69,25.67,0.00,5/8/2021,Soft Drinks,Medium,22.68,3,E&S Impact of Products and Services,Human Capital,Product Governance,39.45,16.77,6.61,9.42,6.65,Moderate,2,Yes,,,
Keyera Corp,CA4932711001,KEY,Active,2,1.27,27.00,Very High,13.50,47.25,None,,Stable,,No,No,No,No,No,31.39,Overvalued,0.91,Medium,0.13,Moderate,0.56,None,0.13,6.86,3.78,5.18,6.29,7.87,5.59,"7,596.56",Mid Value,34.37,12.77,35.75,18.04,2.65,2.51,2.43,3.09,-16.71,-4.08,3.63,,,10.24,0.17,B,107.93,23.09,,0.81,Energy,Oil & Gas Midstream,Energy,,,0P000080H4,0C00000PNL,Canada,KEY,3.09,2.82,18.99,16.46,12.83,12.62,10.55,10.07,11.42,8.66,8.06,8.56,2.12,2.13,15.15,15.08,13.23,13.39,14.87,20.52,16.18,16.75,21.37,0.00,5/8/2021,Oil & Gas Refining and Marketing,Medium,28.45,3,Carbon - Products and Services,"Emissions, Effluents and Waste",Occupational Health and Safety,54.35,25.78,18.40,5.25,4.92,None,0,,,,
Killam Apartment Real Estate Investment Trust,CA49410M1023,KMP.UN,,,,,,,,,,,,,,,,,19.28,Overvalued,0.95,Medium,0.11,Moderate,0.64,None,0.46,0.53,3.05,3.14,4.23,1.91,3.35,"2,223.10",Small Value,20.30,5.61,20.50,15.87,0.84,0.83,59.47,5.20,8.02,11.78,9.45,147.20,1.35,14.21,12.57,B,14.83,12.57,,6.34,Real Estate,REIT - Residential,Real Estate,,,0P00005S37,0C00000IGL,Canada,KMP.UN,5.20,5.77,2.30,2.66,9.23,8.20,6.02,4.99,3.67,3.99,5.39,6.82,7.90,8.67,20.46,16.40,12.19,9.57,5.25,4.81,6.82,9.61,14.40,0.00,5/8/2021,REITs,Low,14.19,4,ESG Integration - Financials,Human Capital,Product Governance,26.50,12.31,5.07,3.28,5.84,None,0,,,,
Kimberly-Clark Corp,US4943681035,KMB,Active,3,1.01,127.00,Medium,88.90,171.45,Narrow,,Stable,,No,No,Yes,No,No,123.23,Fairly Valued,0.96,Medium,0.12,Strong,0.71,Wide,1.00,0.65,3.88,3.32,3.99,4.95,3.43,"43,491.56",Large Value,128.89,-3.10,160.16,128.02,0.50,0.51,15.31,28.01,3.74,1.42,0.58,64.51,5.42,8.38,1.04,A,19.58,25.26,5.61,5.17,Consumer Defensive,Household & Personal Products,Consumer Staples,,,0P00000357,0C000007YN,United States,KMB,28.01,29.94,16.44,19.96,18.00,15.57,17.15,21.31,18.48,15.75,,32.29,"1,296.87",793.25,,824.56,864.52,,365.05,54.65,43.53,34.20,28.50,0.00,5/8/2021,Household Products,Medium,21.47,3,Product Governance,Resource Use,Business Ethics,40.85,18.82,8.03,7.11,6.90,Moderate,2,Yes,,,
Kimco Realty Corp,US49446R1095,KIM,Active,2,1.18,18.00,Medium,12.60,24.30,None,,Stable,,No,No,No,No,No,20.25,Fairly Valued,0.95,High,0.16,Moderate,0.40,None,0.04,0.19,-51.79,-20.87,-11.15,-1.99,2.82,"9,211.01",Mid Value,21.25,0.86,22.31,10.04,1.65,1.53,87.71,11.12,-8.71,-4.14,-1.94,1.08,-1.33,-1.33,0.76,C,9.29,19.55,4.38,10.80,Real Estate,REIT - Retail,Real Estate,,,0P00000358,0C000007YO,United States,KIM,11.12,10.86,3.66,0.70,2.96,2.73,3.57,3.41,5.73,9.53,4.30,4.58,19.46,18.55,6.62,8.01,6.95,6.42,16.84,7.74,3.76,3.65,2.27,0.00,5/8/2021,REITs,Low,13.14,4,ESG Integration - Financials,Human Capital,Product Governance,26.85,13.71,3.89,3.86,5.38,None,0,,,,
Kinder Morgan Inc,US49456B1017,KMI,Active,4,0.90,21.00,Medium,14.70,28.35,None,,Stable,,No,No,No,No,No,20.40,Undervalued,1.08,Medium,0.14,Moderate,0.56,None,0.07,1.30,9.21,27.55,-11.67,,5.61,"42,687.38",Large Value,18.85,2.67,19.29,11.45,1.13,1.14,5.65,2.72,-11.42,-5.14,-4.07,14.73,26.24,-0.37,-2.91,B,22.64,272.20,2.34,4.30,Energy,Oil & Gas Midstream,Energy,,,0P0000SDEF,0C00008FST,United States,KMI,2.72,0.16,,4.94,2.03,4.85,4.56,5.14,3.88,1.86,2.14,1.54,5.57,0.33,6.46,4.38,0.06,1.58,0.62,4.35,8.85,3.67,15.50,0.00,5/8/2021,Oil & Gas Storage and Transportation,Low,18.36,4,"Emissions, Effluents and Waste",Community Relations,Occupational Health and Safety,44.40,26.04,8.55,6.09,3.72,Moderate,2,Yes,,,
KLA Corp,US4824801009,KLAC,Active,3,1.00,315.00,High,189.00,488.25,Wide,,Stable,,Yes,No,Yes,Yes,No,293.97,Overvalued,0.93,Medium,0.11,Moderate,0.60,Wide,1.00,0.30,10.00,15.53,10.53,18.59,1.14,"48,421.72",Large Blend,315.90,3.32,359.69,171.31,1.28,1.23,22.68,31.96,27.09,18.61,15.59,59.10,16.03,18.11,26.56,B,26.63,20.11,1.52,3.77,Technology,Semiconductor Equipment & Materials,Information Technology,,,0P0000033M,0C000007Z6,United States,KLAC,31.96,21.83,8.95,-14.88,8.01,24.92,20.50,13.84,14.22,11.06,21.61,24.34,68.48,45.70,54.94,54.45,91.89,126.86,17.90,16.30,15.98,24.48,31.11,0.00,5/8/2021,Semiconductor Equipment,Low,19.52,4,Human Capital,"Emissions, Effluents and Waste",Product Governance,32.40,12.88,6.84,6.73,5.96,None,0,,,,
Labrador Iron Ore Royalty Corp,CA5054401073,LIF,,,,,,,,,,,,,,,,,40.45,Overvalued,0.87,High,0.22,Strong,0.73,Narrow,0.91,0.79,155.00,36.62,20.59,,7.10,"2,976.00",Mid Value,46.50,7.32,49.62,23.22,1.22,1.36,138.16,46.42,14.00,8.46,14.76,-21.88,1.66,1.66,-0.42,A,10.89,12.20,,8.97,Basic Materials,Steel,Materials,,,0P0000X4QP,0C00000PNJ,Canada,LIF,46.42,41.12,45.15,18.48,37.74,41.51,28.70,26.36,17.88,9.50,13.53,27.13,46.45,41.17,36.40,22.07,27.18,13.56,9.53,17.94,26.39,24.45,73.63,0.00,5/8/2021,Steel,Low,16.35,4,Human Capital,Bribery and Corruption,Business Ethics,20.70,4.35,0.15,4.37,11.83,Low,1,Yes,,,
Lam Research Corp,US5128071082,LRCX,Active,3,1.06,600.00,High,360.00,930.00,Wide,,Stable,,Yes,No,Yes,No,No,598.75,Overvalued,0.94,Medium,0.11,Moderate,0.59,Wide,1.00,0.21,4.55,40.74,40.51,,0.81,"91,096.68",Large Growth,638.74,6.14,673.80,292.28,1.34,1.27,25.64,34.81,4.05,7.82,13.82,-33.05,0.91,1.57,-6.19,B,27.48,17.98,0.94,3.70,Technology,Semiconductor Equipment & Materials,Information Technology,,,0P00000384,0C00000812,United States,LRCX,34.81,23.08,24.81,-17.50,20.70,28.76,3.89,2.28,10.78,9.87,11.19,17.44,69.74,45.46,38.77,35.09,25.94,15.97,12.42,12.79,2.28,4.33,34.16,0.00,5/8/2021,Semiconductor Equipment,Low,14.74,4,Human Capital,Business Ethics,"Emissions, Effluents and Waste",32.40,17.66,5.11,4.52,5.11,Low,1,Yes,,,
Leggett & Platt Inc,US5246601075,LEG,,,,,,,,,,,,,,,,,46.38,Overvalued,0.91,Medium,0.12,Moderate,0.60,Narrow,0.96,0.75,1.27,4.06,4.89,4.20,3.17,"6,801.53",Mid Blend,51.05,-8.71,59.16,32.24,1.58,1.49,7.50,9.41,-9.94,2.77,1.79,2.19,23.57,10.74,5.12,B,25.84,19.57,,4.17,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Discretionary,,,0P0000039L,0C0000082M,United States,LEG,9.41,8.77,4.54,5.38,8.65,8.03,12.02,9.53,5.73,16.98,20.19,14.11,21.60,18.33,27.04,26.07,25.65,35.44,29.13,7.72,13.96,18.17,10.94,0.00,5/8/2021,Conglomerates,Severe,48.72,1,Business Ethics,Product Governance,Carbon - Own Operations,60.00,11.28,20.38,17.19,11.15,Moderate,2,Yes,,,
Leon's Furniture Ltd,CA5266821092,LNF,,,,,,,,,,,,,,,,,21.33,Overvalued,0.94,High,0.23,Strong,0.71,None,0.61,0.25,3.57,6.51,7.71,6.13,2.74,"1,774.51",Small Value,22.65,4.56,23.85,12.65,0.47,0.50,9.48,13.72,-2.77,0.07,1.79,132.95,66.92,48.36,8.38,B,9.70,13.69,,10.29,Consumer Cyclical,Specialty Retail,Consumer Discretionary,,,0P00005RPK,0C00000I25,Canada,LNF,13.72,11.89,17.81,15.01,15.55,12.96,10.01,10.40,9.07,9.26,9.61,10.28,19.12,16.90,12.06,13.62,13.49,13.27,13.33,14.43,14.40,10.66,13.56,0.00,5/8/2021,Home Improvement,Low,19.34,4,,,,23.00,3.66,,,,None,0,,,,
Life Storage Inc,US53223X1072,LSI,,,,,,,,,,,,,,,,,91.09,Overvalued,0.86,Medium,0.12,Moderate,0.66,None,0.56,1.88,7.00,2.71,5.99,9.05,2.75,"8,118.24",Mid Blend,105.63,10.16,108.18,60.67,0.28,0.33,28.24,4.74,5.63,3.60,9.78,7.22,6.34,6.34,3.33,B,64.99,32.74,,1.45,Real Estate,REIT - Industrial,Real Estate,,,0P0000051Z,0C00000CAZ,United States,LSI,4.74,4.99,5.59,4.68,6.66,4.54,5.69,6.52,6.78,7.08,4.08,3.76,6.92,6.72,12.35,10.11,4.68,5.18,10.33,9.59,9.27,7.96,4.75,0.00,5/8/2021,REITs,Low,14.16,4,ESG Integration - Financials,Human Capital,Product Governance,26.00,11.84,4.74,4.73,4.69,Low,1,Yes,,,
Linde PLC,IE00BZ12WP82,LIN,Active,3,0.97,297.00,Medium,207.90,400.95,Narrow,,Stable,,No,No,Yes,No,Yes,265.14,Overvalued,0.92,Medium,0.10,Strong,0.72,Wide,0.99,0.72,10.06,6.94,6.14,7.91,1.40,"150,579.80",Large Growth,289.56,-3.52,305.71,204.02,0.76,0.78,12.42,5.01,-3.49,33.86,20.38,60.77,32.55,34.68,62.73,A,54.75,29.79,2.52,1.90,Basic Materials,Specialty Chemicals,Materials,,,0P000004FA,0C000008KB,United States,LIN,5.01,4.12,13.19,14.14,11.71,15.28,14.20,13.10,12.19,11.68,11.64,9.32,6.39,5.19,4.54,15.21,22.59,31.88,30.90,27.70,27.70,29.29,29.65,0.00,5/8/2021,Industrial Gases,Low,10.01,4,Carbon - Own Operations,Occupational Health and Safety,E&S Impact of Products and Services,33.20,23.19,4.39,2.10,3.53,Moderate,2,Yes,,,
Loblaw Companies Ltd,CA5394811015,L,Active,3,1.04,73.00,Medium,51.10,98.55,None,,Stable,,No,No,No,No,No,74.08,Fairly Valued,0.98,Low,0.08,Moderate,0.67,None,0.04,0.39,3.23,6.16,5.17,4.30,1.74,"25,880.95",Large Blend,75.65,5.33,76.60,60.86,-0.12,-0.05,3.08,6.11,9.74,4.20,3.04,45.75,27.41,17.39,-2.38,A,22.35,29.63,,4.36,Consumer Defensive,Grocery Stores,Consumer Staples,,,0P00005RPE,0C00000I45,Canada,L,6.11,5.91,7.20,7.96,7.94,8.05,6.80,6.12,1.91,3.62,5.33,7.30,10.67,10.06,9.33,6.18,11.73,7.44,4.57,0.54,9.35,10.20,13.25,0.00,5/8/2021,Food Retail,Low,18.76,4,Human Capital,Business Ethics,Carbon - Own Operations,36.90,18.14,5.04,8.60,5.12,Significant,3,Yes,,,
Lockheed Martin Corp,US5398301094,LMT,Active,4,0.88,436.00,Medium,305.20,588.60,Wide,,Stable,,No,No,Yes,No,Yes,383.59,Fairly Valued,1.00,High,0.20,Strong,0.74,Wide,1.00,0.40,8.89,9.52,9.77,14.02,2.66,"106,615.48",Large Value,383.60,-1.17,402.38,319.81,0.99,0.99,12.59,42.98,9.34,9.39,10.04,10.13,6.59,8.11,,B,15.30,23.44,4.10,6.51,Industrials,Aerospace & Defense,Industrials,,,0P000003BP,0C0000084Y,United States,LMT,42.98,43.14,32.99,40.89,35.22,36.49,43.03,37.41,37.36,27.22,34.24,15.71,142.51,149.49,275.60,"1,855.15",593.95,224.52,110.97,86.90,120.27,527.88,118.05,0.00,5/8/2021,Aerospace and Defence,Medium,28.85,3,Product Governance,Business Ethics,Bribery and Corruption,55.35,26.50,5.27,15.74,7.84,Significant,3,Yes,,,
Loews Corp,US5404241086,L,,,,,,,,None,,,,,,,,,58.72,Fairly Valued,1.05,High,0.20,Moderate,0.57,None,0.05,,0.00,0.00,0.00,0.00,0.45,"14,772.05",Mid Value,56.13,-4.65,59.39,32.29,0.99,0.93,-10.71,,-7.20,-0.17,0.37,47.86,-12.76,-12.33,4.68,C,,55.13,,-0.27,Financial Services,Insurance - Property & Casualty,Financials,,,0P0000068W,0C00000CWN,United States,L,,,,,,,,,,,,,-0.22,-5.04,4.95,3.37,6.23,3.66,1.41,3.05,3.06,2.97,5.71,0.00,5/8/2021,Multi-Sector Holdings,Low,15.41,4,ESG Integration - Financials,Business Ethics,Human Capital,21.20,5.88,0.57,3.44,11.31,Low,1,Yes,,,
Lowe's Companies Inc,US5486611073,LOW,Active,2,1.13,165.00,Medium,115.50,222.75,Wide,,Stable,,Yes,No,Yes,No,No,163.71,Overvalued,0.88,Low,0.10,Moderate,0.65,Wide,1.00,0.26,7.98,13.33,16.54,18.54,1.26,"131,622.94",Large Blend,186.20,-6.39,215.22,128.60,1.25,1.35,,26.51,24.19,9.30,8.69,229.23,32.92,29.69,-34.75,B,21.18,25.21,1.27,4.94,Consumer Cyclical,Home Improvement Retail,Consumer Discretionary,,,0P000003C9,0C0000085J,United States,LOW,26.51,24.17,13.08,10.06,8.14,9.01,8.43,9.38,11.33,13.76,13.77,16.26,628.41,340.92,151.99,48.48,55.84,43.47,28.76,24.58,17.66,12.80,10.53,0.00,5/8/2021,Home Improvement Retail,Low,11.66,4,Human Capital,Carbon - Own Operations,Human Rights - Supply Chain,24.55,11.94,4.43,4.87,3.31,Moderate,2,Yes,,,
Magellan Aerospace Corp,CA5589122004,MAL,,,,,,,,,,,,,,,,,11.85,Undervalued,1.12,Very High,0.46,Moderate,0.63,None,0.03,,3.70,14.47,13.55,,3.98,608.46,Small Value,10.54,1.87,11.73,6.28,1.69,1.58,1.93,-1.25,-26.75,-7.98,-4.79,69.86,6.72,-6.57,4.11,B,,10.61,,-2.09,Industrials,Aerospace & Defense,Industrials,,,0P00005S1O,0C00000IHN,Canada,MAL,-1.25,0.64,6.28,8.04,11.09,11.10,11.88,8.34,9.79,11.36,11.59,14.44,-1.65,0.42,8.42,11.99,16.67,14.87,15.32,13.04,12.25,18.48,14.87,0.00,5/8/2021,Aerospace and Defence,High,39.07,2,,,,50.40,11.33,,,,None,0,,,,
Magellan Midstream Partners LP,US5590801065,MMP,Active,3,1.02,52.00,Medium,36.40,70.20,Wide,,Negative,,No,Yes,No,No,No,49.97,Overvalued,0.94,Medium,0.10,Moderate,0.60,Wide,1.00,1.23,1.86,5.28,7.11,10.95,7.72,"11,885.34",Mid Value,53.23,8.46,53.85,32.61,1.13,1.11,33.77,13.12,-11.00,-1.07,2.10,77.05,5.26,-0.71,3.40,B,14.71,15.38,5.51,6.29,Energy,Oil & Gas Midstream,Energy,,,0P000003F2,0C0000086T,United States,MMP,13.12,13.80,9.30,13.49,12.98,14.87,14.53,16.48,21.54,18.24,16.99,16.24,31.02,32.56,38.10,55.89,41.19,39.03,42.11,47.76,36.81,29.25,28.34,0.00,5/8/2021,Oil & Gas Storage and Transportation,High,32.66,2,,,,47.38,15.11,,,,Significant,3,Yes,,,
Magna International Inc,CA5592224011,MG,Active,2,1.18,97.00,High,58.20,150.35,None,,Stable,,No,No,No,No,No,98.89,Overvalued,0.87,Medium,0.14,Moderate,0.61,None,0.18,0.44,9.59,13.30,15.75,22.52,1.84,"34,426.80",Large Blend,114.18,-1.92,126.00,57.42,1.57,1.58,3.08,7.28,-17.20,-3.73,0.32,-15.32,13.19,-0.68,6.54,B,26.73,9.68,,3.94,Consumer Cyclical,Auto Parts,Consumer Discretionary,,,0P0000684T,0C0000086Z,Canada,MG,7.28,4.90,0.30,-6.04,12.66,12.23,15.82,15.85,19.33,19.24,17.12,16.22,10.13,6.82,16.39,20.96,20.94,21.68,22.84,20.59,16.39,16.28,12.54,0.00,5/8/2021,Auto Parts,Medium,21.16,3,Product Governance,Human Capital,Business Ethics,36.15,13.90,5.34,10.03,6.90,Low,1,Yes,,,
Marriott International Inc,US5719032022,MAR,Active,3,1.10,130.00,Medium,91.00,175.50,Narrow,,Positive,,No,No,Yes,No,Yes,128.31,Overvalued,0.90,Medium,0.10,Moderate,0.56,Wide,0.99,0.00,-74.05,-28.07,-12.76,8.75,,"46,634.70",Large Growth,143.21,-0.06,159.98,80.26,1.92,1.88,-4.41,-0.40,-49.59,-19.75,-6.11,45.74,-8.87,-9.71,-48.71,B,,38.30,0.54,-0.66,Consumer Cyclical,Lodging,Consumer Discretionary,,,0P000003GU,0C0000088F,United States,MAR,-0.40,0.32,9.98,-6.76,15.07,10.18,,,,,13.04,12.53,-288.79,-47.13,86.95,65.68,32.64,91.45,,,,,49.25,0.00,5/8/2021,"Travel, Lodging and Amusement",Medium,21.79,3,Carbon - Own Operations,Human Capital,Resource Use,39.55,17.76,7.85,10.03,3.90,Significant,3,Yes,,,
Marsh & McLennan Companies Inc,US5717481023,MMC,Active,2,1.29,108.00,Medium,75.60,145.80,Narrow,,Stable,,Yes,No,No,No,Yes,114.68,Overvalued,0.82,Low,0.10,Strong,0.72,Wide,1.00,0.43,5.75,8.77,9.29,8.55,1.33,"71,047.00",Large Blend,139.71,3.83,141.40,102.11,0.94,0.91,16.22,11.34,3.44,7.09,5.96,56.39,24.01,21.34,7.42,A,31.66,26.22,2.81,3.13,Financial Services,Insurance Brokers,Financials,,,0P000003GV,0C0000088G,United States,MMC,11.34,10.69,0.58,4.72,10.75,12.22,14.09,14.38,14.73,15.97,17.34,13.66,26.84,23.86,22.77,22.19,22.02,27.83,23.57,19.59,18.79,18.93,16.21,0.00,5/8/2021,Insurance Brokers,Low,19.38,4,Product Governance,Data Privacy and Security,Business Ethics,34.00,14.62,0.11,8.36,10.92,Moderate,2,Yes,,,
Martin Marietta Materials Inc,US5732841060,MLM,Active,2,1.14,300.00,High,180.00,465.00,Narrow,,Stable,,Yes,No,Yes,No,No,295.72,Overvalued,0.86,Low,0.08,Moderate,0.64,Narrow,0.97,0.19,8.74,9.20,6.96,3.42,0.66,"21,391.91",Mid Blend,342.99,-9.11,383.71,198.81,0.58,0.65,18.80,9.46,-0.19,6.05,5.97,20.57,40.81,16.88,8.30,B,29.88,27.60,1.57,3.55,Basic Materials,Building Materials,Materials,,,0P000003H2,0C0000088N,United States,MLM,9.46,9.28,10.27,5.66,5.84,5.20,5.21,6.36,4.60,5.89,8.39,11.32,13.54,12.82,11.87,9.75,16.13,10.34,6.84,5.26,8.20,5.96,5.77,0.00,5/8/2021,Construction Materials,High,31.66,2,Carbon - Own Operations,E&S Impact of Products and Services,Business Ethics,46.20,14.68,17.90,4.90,8.73,Moderate,2,Yes,,,
Masco Corp,US5745991068,MAS,Active,3,0.95,62.00,Medium,43.40,83.70,Wide,,Stable,,Yes,No,Yes,No,No,54.10,Overvalued,0.92,High,0.16,Moderate,0.68,Wide,1.00,0.19,38.38,19.15,13.11,8.61,1.10,"14,950.52",Mid Blend,58.91,-7.81,68.54,47.33,1.31,1.35,15.73,,7.17,6.12,0.13,25.04,13.23,8.26,,B,20.80,21.64,1.98,4.92,Industrials,Building Products & Equipment,Industrials,,,0P000003H7,0C0000088R,United States,MAS,,,-3.25,-0.46,-14.50,-6.98,1.14,11.73,23.64,12.73,,,,,,,,,88.72,113.15,64.02,-27.33,-60.49,0.00,5/8/2021,Building Products,Medium,25.77,3,E&S Impact of Products and Services,Carbon - Own Operations,Business Ethics,36.05,10.28,13.90,4.29,7.57,Low,1,Yes,,,
Mastercard Inc,US57636Q1040,MA,Active,2,1.14,320.00,Medium,224.00,432.00,Wide,,Stable,,Yes,No,No,Yes,No,296.70,Overvalued,0.82,Medium,0.11,Strong,0.70,Wide,1.00,0.25,54.55,45.67,24.94,42.28,0.46,"360,562.90",Large Growth,363.82,-0.02,401.50,281.20,1.26,1.19,50.72,35.60,-9.37,6.98,9.62,-12.60,7.53,8.45,7.36,A,55.30,38.07,1.68,1.79,Financial Services,Credit Services,Information Technology,,,0P00005U6B,0C00000KP8,United States,MA,35.60,39.41,-9.61,54.89,42.45,34.19,42.98,43.41,42.30,43.85,41.00,36.89,111.66,104.38,143.83,107.87,70.39,69.48,59.42,50.68,43.27,43.16,34.43,0.00,5/8/2021,Data Processing,Low,16.31,4,Business Ethics,Human Capital,Data Privacy and Security,34.90,18.59,0.07,7.68,8.57,High,4,Yes,,,
